imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0322824,Japón,2002,2004-07-18,Drama,130,Mexico,Spanish,Carlos Reygadas,Carlos Reygadas,No Dream Cinema,6.9,3270,$ 250050,$ 21900,$ 206784,76.0,44.0,68.0
tt0322830,Je suis votre homme,2004,2004-08-25,Comedy,106,France,French,Danièle Dubroux,"Danièle Dubroux, Pascal Richou",Maïa Films,5.9,168,,,$ 479160,,3.0,4.0
tt0322884,El juego de la silla,2002,2003-08-07,Comedy,93,Argentina,Spanish,Ana Katz,Ana Katz,Tresplanos Cine,6.6,149,,,,,1.0,
tt0322887,Jukkai no mosukîto,1983,1983-07-02,Drama,108,Japan,Japanese,Yôichi Sai,"Yôichi Sai, Yûya Uchida",New Century Producers,7.0,108,,,,,1.0,2.0
tt0322896,Jutro bedzie niebo,2001,2002-10-18,Drama,77,Poland,Polish,Jaroslaw Marszewski,Jaroslaw Marszewski,Cinematography Committee APF,6.2,176,,,,,1.0,
tt0322918,I Cavalieri dello zodiaco - L'ardente scontro degli dei,1988,1988-03-12,"Animation, Action, Fantasy",45,Japan,Japanese,Shigeyasu Yamauchi,"Takao Koyama, Masami Kurumada",Toei Doga,6.8,896,,,,,2.0,1.0
tt0322936,Kehtaa Hai Dil Baar Baar,2002,2002-11-15,"Comedy, Drama, Romance",119,"India, USA","Hindi, English",Rahul Dholakia,"Raman Bharadwaj, Neeraj Vora",CA Films,4.7,176,,$ 95415,$ 95415,,3.0,2.0
tt0322987,Kontorstid,2003,2003-01-17,"Comedy, Drama",106,Sweden,Swedish,Tomas Alfredson,Sofia Fredén,Film i Väst,4.9,186,,,,,3.0,2.0
tt0322988,Kopeyka,2002,2002-06-07,Comedy,115,Russia,Russian,Ivan Dykhovichnyy,"Ivan Dykhovichnyy, Vladimir Sorokin",Etalon Film,7.0,390,,,,,5.0,
tt0322999,Ze film,2005,2005-02-23,Comedy,105,France,French,Guy Jacques,"Constantine Attia, Guy Jacques",Ze Prod,5.4,252,,,$ 847646,,1.0,1.0
tt0323013,Lakshya,2004,2004-06-18,"Action, Drama, Romance",186,India,Hindi,Farhan Akhtar,"Javed Akhtar, Javed Akhtar",Excel Entertainment,7.9,20167,INR 300000000,$ 753600,$ 5859242,,73.0,23.0
tt0323033,Laws of Attraction - Matrimonio in appello,2004,2004-08-20,"Comedy, Romance",90,"Ireland, UK, Germany",English,Peter Howitt,"Aline Brosh McKenna, Aline Brosh McKenna",Deep River Productions,5.9,21865,$ 32000000,$ 17871255,$ 30031874,38.0,105.0,91.0
tt0323050,Levelland,2003,2003-05-07,Drama,107,USA,"English, Spanish",Clark Walker,Clark Walker,Detour Filmproduction,5.4,139,,,,,9.0,2.0
tt0323084,Livet i 8 bitar,2002,2002-09-27,Comedy,85,Sweden,"Swedish, English, Yiddish","Pontus Klänge, Jonathan Metzger","Jonathan Metzger, Jonas Raber",Svensk Filmindustri (SF),4.8,832,,,,,5.0,4.0
tt0323103,"Long Life, Happiness & Prosperity",2002,2002-09-07,"Comedy, Drama, Family",90,Canada,"English, Cantonese",Mina Shum,"Dennis Foon, Mina Shum",Shaftesbury Films,6.5,550,,,,,11.0,7.0
tt0323120,Loving Annabelle,2006,2007-05-24,"Drama, Romance",77,USA,English,Katherine Brooks,"Katherine Brooks, Olivia Bohnhoff Harris",Big Easy Pictures,6.3,11733,$ 1000000,,,,83.0,15.0
tt0323177,Maður eins og ég,2002,2002-08-16,"Comedy, Drama, Romance",90,"Hong Kong, Iceland","Icelandic, Mandarin, English, Cantonese, German",Róbert I. Douglas,"Róbert I. Douglas, Árni Ásgeirsson",The Icelandic Filmcompany,5.8,149,$ 700000,,,,5.0,1.0
tt0323246,Midnight Mass,2003,2003-07-08,Horror,98,USA,English,Tony Mandile,"Tony Mandile, F. Paul Wilson",Midnight Mass Productions LLC,2.4,407,,,,,36.0,11.0
tt0323248,A Midsummer Night's Rave,2002,2002-11-01,Drama,85,USA,English,Gil Cates Jr.,Robert Raymond,10 Cates Pictures,5.1,479,$ 1500000,,,,20.0,
tt0323261,Minimal Knowledge,2002,2002-01-21,"Drama, Thriller",94,USA,English,Gregory J. Corrado,Gregory J. Corrado,Corrado Schoner Productions,4.5,102,$ 250000,,,,15.0,
tt0323279,Molitva za getmana Mazepu,2002,2002-02-15,"Drama, History",152,Ukraine,"Ukrainian, Russian",Yuri Ilyenko,Yuri Ilyenko,Dovzhenko Film Studios,5.1,172,,,,,2.0,4.0
tt0323298,The Mother,2003,2004-01-16,"Drama, Romance",112,UK,English,Roger Michell,Hanif Kureishi,BBC Films,6.7,3945,$ 2500000,$ 1063163,$ 3039587,72.0,56.0,70.0
